	Sample_Names	Percolation_Threshold
60	'A213E01_'	1.5270606490188798
61	'A214E01_'	1.6509461576362898
62	'A215E01_'	1.79332736849426
63	'A216E01_'	1.72339911169146
64	'A228E01_'	1.4794673330362902
65	'A229E01_'	1.50085124957762
66	'A230E01_'	1.52809333012829
67	'A231E01_'	1.6449615977561598
68	'A232E01_'	1.6006764402242801
69	'A233E01_'	1.6017797235700402
70	'A234E01_'	1.6420587717062398
71	'A235E01_'	1.67727385340507
72	'A236E01_'	1.6541630103550402
73	'A237E01_'	1.6476387520987401
74	'A346E01_'	1.4878243953827899
75	'A347E01_'	1.5709868795543602
76	'A348E01_'	1.53906334856396
77	'A349E01_'	1.50170780177131
78	'A354E01_'	1.69583201370137
79	'A355E01_'	1.8459558793078998
80	'A356E01_'	1.82949592007883
81	'A371E01_'	1.7817487202805
82	'A372E01_'	1.99720765891675
83	'A373E01_'	2.0767591682756
84	'A374E01_'	2.08527332316932
85	'A375E01_'	2.25064068021282
86	'A376E01_'	2.02475628873516
87	'A377E01_'	1.73401368025372
88	'A378E01_'	1.61317375648751
89	'A612E01_'	1.57999708278211
90	'A613E01_'	1.70527636871336
91	'A614E01_'	1.6384772762788897
92	'A615E01_'	1.54902541640208
93	'A616E01_'	1.73642086208032
94	'A617E01_'	1.65054673382459
95	'A618E01_'	1.6962622520021697
96	'A619E01_'	1.7637328238668302
97	'A620E01_'	1.55781756816019
98	'A624E01_'	1.5448500750269898
99	'A625E01_'	1.78587780564167
100	'A626E01_'	2.01230719822799
101	'A627E01_'	2.4885947696705095
102	'A628E01_'	2.4946352457897403
103	'A629E01_'	2.37492214761933
104	'A630E01_'	2.3517363535884197
105	'A631E01_'	2.0566737099039902
106	'A632E01_'	1.4908293047073502
107	'A634E01_'	1.6403675842076
108	'A635E01_'	1.5623497429913202
109	'A639E01_'	1.74138809665156
110	'A644E01_'	1.60728418552176
111	'A645E01_'	1.8137932011963303
112	'A646E01_'	1.7477855814165402
113	'A647E01_'	1.9537096660843798
114	'A648E01_'	2.03209918883669
115	'A649E01_'	1.95800490888464
116	'A650E01_'	1.8135925452253898
117	'A651E01_'	1.63584349803704
118	'A654E01_'	1.5211321681083403
119	'A655E01_'	1.7610038130132901
120	'A656E01_'	2.10131752856114
121	'A657E01_'	2.17551536944028
122	'A658E01_'	2.08051453173749
123	'A659E01_'	1.9241399531516599
124	'A660E01_'	1.74803658217537
125	'A661E01_'	1.6103131534316497
126	'A662E01_'	1.52698672769631
127	'A663E01_'	1.5367218929996003
128	'A664E01_'	1.65556579457189
129	'A665E01_'	1.69508477091221
130	'A666E01_'	1.76641095713902
131	'A667E01_'	1.88219867142145
132	'A668E01_'	1.82942680715196
133	'A669E01_'	1.84764756678488
134	'A670E01_'	1.79153403145248
135	'A671E01_'	1.72892928993972
136	'A672E01_'	1.7271349634403401
137	'A674E01_'	1.56371599774333
138	'A724E01_'	1.49149894113208
139	'A725E01_'	1.84933510576092
140	'A726E01_'	1.82842222273135
141	'A727E01_'	1.78436407667957
142	'A728E01_'	1.75546111341346
143	'A729E01_'	1.74966939065661
144	'A730E01_'	1.6539122933497399
145	'A731E01_'	1.58145378700333
146	'A734E01_'	1.6326378958860401
147	'A735E01_'	2.2096638480086
148	'A736E01_'	2.54256326976112
149	'A737E01_'	2.5905414064102996
150	'A738E01_'	2.57587393185181
151	'A076E03_'	1.4787553513918603
152	'A078E03_'	1.5206789962024598
153	'A079E03_'	1.59737876228127
154	'A080E03_'	1.6211991940069899
155	'A081E03_'	1.69547201404152
156	'A082E03_'	1.7679921415289501
157	'A083E03_'	1.78405090870455
158	'A084E03_'	1.70904124560168
159	'A085E03_'	1.6612584188045298
160	'A086E03_'	1.6136587815672099
161	'A098E03_'	1.4823030229775
162	'A099E03_'	1.7252868959712602
163	'A100E03_'	1.66020248188092
164	'A103E03_'	1.4822569936193202
165	'A104E03_'	1.6811384334757098
166	'A105E03_'	1.59746230701803
167	'A110E03_'	1.7157723815825001
168	'A111E03_'	1.9943908338604501
169	'A112E03_'	2.12051663305415
170	'A113E03_'	2.16714599934769
171	'A114E03_'	2.2247560946999703
172	'A115E03_'	2.29542776738319
